id,scene_id,l1_scene,l2_scene_label,application_type,application_type_source,product_type,target_complexity,design_style,persona_title,query_text
q5k_scene_002_0019,scene_002,深度研究展示,个人生活类,旅行回忆展示应用,l2_example_extension,portfolio,complex,Glassmorphism,旅行回忆展示相关内容的真实使用者,我想做一个面向需要沉浸式浏览内容的人的旅行回忆展示应用作品展示站，核心目标是让人愿意继续往下看。 请把结构至少拆成时间线或目录、重点内容卡片、章节导航这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑章节定位和横向内容浏览，另外 空内容占位、移动端收起导航 这些状态也要有对应反馈。 偏玻璃拟态一点，模块可以丰富，但主次关系必须明确。 如果会出现长内容或长列表，滚动中的定位感一定要保住。 如果会有多种内容类型混排，最好从规则上先区分清楚再排版。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0020,scene_002,深度研究展示,个人生活类,旅行回忆记录应用,l2_example_extension,landing_page,vague,Vibrant,旅行回忆记录相关内容的真实使用者,我需要一个旅行回忆记录应用的落地页，重点是看起来顺手、别太复杂。颜色可以更鲜明活泼，最好手机上看也自然一点。 希望用户不用解释就知道怎么开始。
q5k_scene_002_0021,scene_002,深度研究展示,个人生活类,年度相册工具,l2_example_extension,content_blog,medium,Luxury,年度相册工具相关内容的真实使用者,我在做一个年度相册工具的内容平台，我想先把入口价值讲明白。页面里我至少想放一个时间线或目录和一个详情展开区，并且把分段折叠展开做得明显一些。高级感和杂志感要更强，手机上也要保持层级清楚。请让用户在扫读和细看之间切换得自然一点。
q5k_scene_002_0022,scene_002,深度研究展示,个人生活类,年度相册展示应用,l2_example_extension,portfolio,complex,Minimalism,年度相册展示相关内容的真实使用者,我想做一个面向想快速建立认知的人的年度相册展示应用作品展示站，核心目标是让人愿意继续往下看。 请把结构至少拆成详情展开区、重点内容卡片、章节导航这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑横向内容浏览和锚点跳转，另外 长内容折叠状态、加载中的骨架屏 这些状态也要有对应反馈。 尽量极简、留白多一些，希望既能快速扫读，也能支持继续深看。 我不想只是堆卡片，希望每个区块的进入路径和退出路径都想清楚。 请把首次进入、继续浏览、准备离开这几个阶段的体验都顺一下。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0023,scene_002,深度研究展示,个人生活类,年度相册记录应用,l2_example_extension,landing_page,vague,Glassmorphism,年度相册记录相关内容的真实使用者,我想做一个年度相册记录应用的落地页，重点是看起来顺手、别太复杂。偏玻璃拟态一点，整体浏览节奏舒服就可以。 先把进入页面后的第一步动作设计清楚。
q5k_scene_002_0024,scene_002,深度研究展示,个人生活类,画作展示工具,l2_example_extension,content_blog,medium,Material,画作展示工具相关内容的真实使用者,我在做一个画作展示工具的内容平台，我想让用户不用想太多就能开始操作。页面里我至少想放一个封面导语和一个详情展开区，并且把锚点跳转做得明显一些。交互反馈要清晰一些，接近 Material，小屏下不要显得拥挤。我更看重效率，不想让交互显得拖沓。
q5k_scene_002_0025,scene_002,深度研究展示,个人生活类,旅行回忆应用,xlsx_candidate,portfolio,complex,Luxury,旅行回忆相关内容的真实使用者,我想做一个面向需要沉浸式浏览内容的人的旅行回忆应用作品展示站，核心目标是让人愿意继续往下看。 请把结构至少拆成详情展开区、章节导航、封面导语这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑横向内容浏览和锚点跳转，另外 空内容占位、移动端收起导航 这些状态也要有对应反馈。 高级感和杂志感要更强，模块可以丰富，但主次关系必须明确。 如果会出现长内容或长列表，滚动中的定位感一定要保住。 如果要加动效，希望它能服务于切换和定位，而不是只是装饰。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0026,scene_002,深度研究展示,个人生活类,年度相册应用,xlsx_candidate,landing_page,vague,Minimalism,年度相册相关内容的真实使用者,我需要一个年度相册应用的落地页，我更在意第一眼能不能快速理解。尽量极简、留白多一些，先偏轻量一点，别做得太重。 信息密度可以低一点。
q5k_scene_002_0027,scene_002,深度研究展示,个人生活类,画作展示应用,xlsx_candidate,content_blog,medium,Glassmorphism,画作展示相关内容的真实使用者,我在做一个画作展示应用的内容平台，我想先把入口价值讲明白。页面里我至少想放一个封面导语和一个章节导航，并且把锚点跳转做得明显一些。偏玻璃拟态一点，手机上也要保持层级清楚。请让用户在扫读和细看之间切换得自然一点。
q5k_scene_002_0028,scene_002,深度研究展示,个人生活类,宝宝成长应用,xlsx_candidate,portfolio,complex,Glassmorphism,宝宝成长相关内容的真实使用者,我想做一个面向想快速建立认知的人的宝宝成长应用作品展示站，核心目标是让重点信息更容易被理解。 请把结构至少拆成时间线或目录、章节导航、重点内容卡片这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑锚点跳转和横向内容浏览，另外 加载中的骨架屏、长内容折叠状态 这些状态也要有对应反馈。 偏玻璃拟态一点，内容会持续增长，所以不要只适配首屏。 请把状态反馈和操作后的可预期性考虑进去，不要只做静态排版。 我希望用户在任何位置都知道自己当前所处层级，不想出现迷路感。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0029,scene_002,深度研究展示,个人生活类,成长记录应用,xlsx_candidate,landing_page,vague,Vibrant,成长记录相关内容的真实使用者,我需要一个成长记录应用的落地页，希望打开以后就知道该往哪里看。颜色可以更鲜明活泼，最好手机上看也自然一点。 主信息和辅助信息要拉开层级。
q5k_scene_002_0030,scene_002,深度研究展示,个人生活类,旅行回忆工具,l2_example_extension,content_blog,medium,Vibrant,旅行回忆工具相关内容的真实使用者,我在做一个旅行回忆工具的内容平台，我想先把入口价值讲明白。页面里我至少想放一个封面导语和一个章节导航，并且把锚点跳转做得明显一些。颜色可以更鲜明活泼，手机上也要保持层级清楚。内容区之间最好有明确节奏，不要一股脑堆在一起。
q5k_scene_002_0031,scene_002,深度研究展示,个人生活类,旅行回忆展示应用,l2_example_extension,portfolio,complex,Glassmorphism,旅行回忆展示相关内容的真实使用者,我想做一个面向第一次打开产品的新访客的旅行回忆展示应用作品展示站，核心目标是把内容讲清楚。 请把结构至少拆成重点内容卡片、封面导语、详情展开区这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑卡片切换和分段折叠展开，另外 长内容折叠状态、加载中的骨架屏 这些状态也要有对应反馈。 偏玻璃拟态一点，希望既能快速扫读，也能支持继续深看。 我不想只是堆卡片，希望每个区块的进入路径和退出路径都想清楚。 请把首次进入、继续浏览、准备离开这几个阶段的体验都顺一下。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0032,scene_002,深度研究展示,个人生活类,旅行回忆记录应用,l2_example_extension,landing_page,vague,Vibrant,旅行回忆记录相关内容的真实使用者,我需要一个旅行回忆记录应用的落地页，希望打开以后就知道该往哪里看。颜色可以更鲜明活泼，最好手机上看也自然一点。 先把进入页面后的第一步动作设计清楚。
q5k_scene_002_0033,scene_002,深度研究展示,个人生活类,年度相册工具,l2_example_extension,content_blog,medium,Glassmorphism,年度相册工具相关内容的真实使用者,我在做一个年度相册工具的内容平台，我想让用户不用想太多就能开始操作。页面里我至少想放一个章节导航和一个封面导语，并且把横向内容浏览做得明显一些。偏玻璃拟态一点，小屏下不要显得拥挤。我更看重效率，不想让交互显得拖沓。
q5k_scene_002_0034,scene_002,深度研究展示,个人生活类,年度相册展示应用,l2_example_extension,portfolio,complex,Minimalism,年度相册展示相关内容的真实使用者,我想做一个面向第一次打开产品的新访客的年度相册展示应用作品展示站，核心目标是让人愿意继续往下看。 请把结构至少拆成详情展开区、封面导语、章节导航这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑卡片切换和锚点跳转，另外 加载中的骨架屏、长内容折叠状态 这些状态也要有对应反馈。 尽量极简、留白多一些，内容会持续增长，所以不要只适配首屏。 请把状态反馈和操作后的可预期性考虑进去，不要只做静态排版。 如果需要做重点推荐区，请让它和常规内容区的权重区别足够明显。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0035,scene_002,深度研究展示,个人生活类,年度相册记录应用,l2_example_extension,landing_page,vague,Glassmorphism,年度相册记录相关内容的真实使用者,帮我先搭一个年度相册记录应用的落地页，我更在意第一眼能不能快速理解。偏玻璃拟态一点，先偏轻量一点，别做得太重。 希望用户不用解释就知道怎么开始。
q5k_scene_002_0036,scene_002,深度研究展示,个人生活类,画作展示工具,l2_example_extension,content_blog,medium,Luxury,画作展示工具相关内容的真实使用者,我在做一个画作展示工具的内容平台，我更在意信息结构是不是一眼能看懂。页面里我至少想放一个封面导语和一个章节导航，并且把卡片切换做得明显一些。高级感和杂志感要更强，不同尺寸下都别破坏主要阅读顺序。我不希望用户反复来回跳转才能完成一个小动作。
q5k_scene_002_0037,scene_002,深度研究展示,个人生活类,旅行回忆应用,xlsx_candidate,portfolio,complex,Luxury,旅行回忆相关内容的真实使用者,我想做一个面向第一次打开产品的新访客的旅行回忆应用作品展示站，核心目标是把内容讲清楚。 请把结构至少拆成详情展开区、详情展开区、封面导语这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑卡片切换和锚点跳转，另外 移动端收起导航、空内容占位 这些状态也要有对应反馈。 高级感和杂志感要更强，信息可以多一点，但层级一定要稳。 视觉上可以有记忆点，但不要为了花哨牺牲理解效率。 请提前考虑信息量上涨后的扩展性，不要只适配少量示例数据。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0038,scene_002,深度研究展示,个人生活类,年度相册应用,xlsx_candidate,landing_page,vague,Minimalism,年度相册相关内容的真实使用者,我想做一个年度相册应用的落地页，重点是看起来顺手、别太复杂。尽量极简、留白多一些，整体浏览节奏舒服就可以。 主信息和辅助信息要拉开层级。
q5k_scene_002_0039,scene_002,深度研究展示,个人生活类,画作展示应用,xlsx_candidate,content_blog,medium,Glassmorphism,画作展示相关内容的真实使用者,我在做一个画作展示应用的内容平台，我想让用户不用想太多就能开始操作。页面里我至少想放一个时间线或目录和一个重点内容卡片，并且把分段折叠展开做得明显一些。偏玻璃拟态一点，小屏下不要显得拥挤。我更看重效率，不想让交互显得拖沓。
q5k_scene_002_0040,scene_002,深度研究展示,个人生活类,宝宝成长应用,xlsx_candidate,portfolio,complex,Neumorphism,宝宝成长相关内容的真实使用者,我想做一个面向需要沉浸式浏览内容的人的宝宝成长应用作品展示站，核心目标是让重点信息更容易被理解。 请把结构至少拆成重点内容卡片、重点内容卡片、时间线或目录这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑章节定位和分段折叠展开，另外 移动端收起导航、空内容占位 这些状态也要有对应反馈。 用柔和拟物的感觉，信息可以多一点，但层级一定要稳。 视觉上可以有记忆点，但不要为了花哨牺牲理解效率。 请提前考虑信息量上涨后的扩展性，不要只适配少量示例数据。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0041,scene_002,深度研究展示,个人生活类,成长记录应用,xlsx_candidate,landing_page,vague,Luxury,成长记录相关内容的真实使用者,我在准备做一个成长记录应用的落地页，希望打开以后就知道该往哪里看。高级感和杂志感要更强，不要太花，重点内容容易扫到就好。 内容分组先不要太碎。
q5k_scene_002_0042,scene_002,深度研究展示,个人生活类,旅行回忆工具,l2_example_extension,content_blog,medium,Minimalism,旅行回忆工具相关内容的真实使用者,我在做一个旅行回忆工具的内容平台，我希望首页先建立清晰的认知。页面里我至少想放一个封面导语和一个详情展开区，并且把卡片切换做得明显一些。尽量极简、留白多一些，移动端和桌面端都要顺手。重要信息需要能被快速扫到，次要信息再慢慢展开。
q5k_scene_002_0043,scene_002,深度研究展示,个人生活类,旅行回忆展示应用,l2_example_extension,portfolio,complex,Glassmorphism,旅行回忆展示相关内容的真实使用者,我想做一个面向第一次打开产品的新访客的旅行回忆展示应用作品展示站，核心目标是让人愿意继续往下看。 请把结构至少拆成时间线或目录、章节导航、重点内容卡片这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑锚点跳转和横向内容浏览，另外 加载中的骨架屏、长内容折叠状态 这些状态也要有对应反馈。 偏玻璃拟态一点，内容会持续增长，所以不要只适配首屏。 请把状态反馈和操作后的可预期性考虑进去，不要只做静态排版。 我希望用户在任何位置都知道自己当前所处层级，不想出现迷路感。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0044,scene_002,深度研究展示,个人生活类,旅行回忆记录应用,l2_example_extension,landing_page,vague,Vibrant,旅行回忆记录相关内容的真实使用者,想请你帮我设计一个旅行回忆记录应用的落地页，重点是看起来顺手、别太复杂。颜色可以更鲜明活泼，最好手机上看也自然一点。 我会更关注首屏是不是干净。
q5k_scene_002_0045,scene_002,深度研究展示,个人生活类,年度相册工具,l2_example_extension,content_blog,medium,Vibrant,年度相册工具相关内容的真实使用者,我在做一个年度相册工具的内容平台，我希望首页先建立清晰的认知。页面里我至少想放一个封面导语和一个详情展开区，并且把卡片切换做得明显一些。颜色可以更鲜明活泼，移动端和桌面端都要顺手。希望信息区块之间有明显主次，不要平均用力。
q5k_scene_002_0046,scene_002,深度研究展示,个人生活类,年度相册展示应用,l2_example_extension,portfolio,complex,Minimalism,年度相册展示相关内容的真实使用者,我想做一个面向第一次打开产品的新访客的年度相册展示应用作品展示站，核心目标是让重点信息更容易被理解。 请把结构至少拆成封面导语、重点内容卡片、章节导航这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑章节定位和横向内容浏览，另外 空内容占位、移动端收起导航 这些状态也要有对应反馈。 尽量极简、留白多一些，模块可以丰富，但主次关系必须明确。 如果会出现长内容或长列表，滚动中的定位感一定要保住。 如果要加动效，希望它能服务于切换和定位，而不是只是装饰。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0047,scene_002,深度研究展示,个人生活类,年度相册记录应用,l2_example_extension,landing_page,vague,Glassmorphism,年度相册记录相关内容的真实使用者,我在准备做一个年度相册记录应用的落地页，先保证结构清楚，后面再慢慢补细节。偏玻璃拟态一点，操作别绕，普通用户一看就会用最好。 我不想看到太重的学习成本。
q5k_scene_002_0048,scene_002,深度研究展示,个人生活类,画作展示工具,l2_example_extension,content_blog,medium,Glassmorphism,画作展示工具相关内容的真实使用者,我在做一个画作展示工具的内容平台，我想让用户不用想太多就能开始操作。页面里我至少想放一个详情展开区和一个时间线或目录，并且把卡片切换做得明显一些。偏玻璃拟态一点，小屏下不要显得拥挤。我更看重效率，不想让交互显得拖沓。
q5k_scene_002_0049,scene_002,深度研究展示,个人生活类,旅行回忆应用,xlsx_candidate,portfolio,complex,Luxury,旅行回忆相关内容的真实使用者,我想做一个面向需要沉浸式浏览内容的人的旅行回忆应用作品展示站，核心目标是让重点信息更容易被理解。 请把结构至少拆成封面导语、封面导语、详情展开区这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑卡片切换和分段折叠展开，另外 长内容折叠状态、加载中的骨架屏 这些状态也要有对应反馈。 高级感和杂志感要更强，希望既能快速扫读，也能支持继续深看。 我不想只是堆卡片，希望每个区块的进入路径和退出路径都想清楚。 我希望页面不是只有展示，还要能支持后续的判断、比较或继续操作。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0050,scene_002,深度研究展示,个人生活类,年度相册应用,xlsx_candidate,landing_page,vague,Minimalism,年度相册相关内容的真实使用者,想请你帮我设计一个年度相册应用的落地页，希望打开以后就知道该往哪里看。尽量极简、留白多一些，最好手机上看也自然一点。 先保证浏览顺序别乱。
q5k_scene_002_0051,scene_002,深度研究展示,个人生活类,画作展示应用,xlsx_candidate,content_blog,medium,Glassmorphism,画作展示相关内容的真实使用者,我在做一个画作展示应用的内容平台，我希望首页先建立清晰的认知。页面里我至少想放一个详情展开区和一个时间线或目录，并且把分段折叠展开做得明显一些。偏玻璃拟态一点，移动端和桌面端都要顺手。别让页面看起来像模板拼接，至少要有一个明显记忆点。
q5k_scene_002_0052,scene_002,深度研究展示,个人生活类,宝宝成长应用,xlsx_candidate,portfolio,complex,Minimalism,宝宝成长相关内容的真实使用者,我想做一个面向需要沉浸式浏览内容的人的宝宝成长应用作品展示站，核心目标是让重点信息更容易被理解。 请把结构至少拆成时间线或目录、封面导语、章节导航这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑锚点跳转和横向内容浏览，另外 移动端收起导航、空内容占位 这些状态也要有对应反馈。 尽量极简、留白多一些，信息可以多一点，但层级一定要稳。 视觉上可以有记忆点，但不要为了花哨牺牲理解效率。 不要只关注主流程，边缘状态和低频操作也要有合理落点。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0053,scene_002,深度研究展示,个人生活类,成长记录应用,xlsx_candidate,landing_page,vague,Glassmorphism,成长记录相关内容的真实使用者,我在准备做一个成长记录应用的落地页，先保证结构清楚，后面再慢慢补细节。偏玻璃拟态一点，操作别绕，普通用户一看就会用最好。 我不想看到太重的学习成本。
q5k_scene_002_0054,scene_002,深度研究展示,个人生活类,旅行回忆工具,l2_example_extension,content_blog,medium,Material,旅行回忆工具相关内容的真实使用者,我在做一个旅行回忆工具的内容平台，我想让用户不用想太多就能开始操作。页面里我至少想放一个章节导航和一个封面导语，并且把横向内容浏览做得明显一些。交互反馈要清晰一些，接近 Material，小屏下不要显得拥挤。我更看重效率，不想让交互显得拖沓。
q5k_scene_002_0055,scene_002,深度研究展示,个人生活类,旅行回忆展示应用,l2_example_extension,portfolio,complex,Glassmorphism,旅行回忆展示相关内容的真实使用者,我想做一个面向需要沉浸式浏览内容的人的旅行回忆展示应用作品展示站，核心目标是让人愿意继续往下看。 请把结构至少拆成章节导航、封面导语、详情展开区这几个层次，不要只给一个平铺页面。 交互上我希望重点考虑锚点跳转和卡片切换，另外 空内容占位、移动端收起导航 这些状态也要有对应反馈。 偏玻璃拟态一点，模块可以丰富，但主次关系必须明确。 如果会出现长内容或长列表，滚动中的定位感一定要保住。 如果会有多种内容类型混排，最好从规则上先区分清楚再排版。 同时要兼顾响应式，尤其是手机上信息收放、按钮层级和浏览节奏。
q5k_scene_002_0056,scene_002,深度研究展示,个人生活类,旅行回忆记录应用,l2_example_extension,landing_page,vague,Vibrant,旅行回忆记录相关内容的真实使用者,我需要一个旅行回忆记录应用的落地页，先把核心信息讲清楚就行。颜色可以更鲜明活泼，先偏轻量一点，别做得太重。 我不想看到太重的学习成本。
q5k_scene_002_0057,scene_002,深度研究展示,个人生活类,年度相册工具,l2_example_extension,content_blog,medium,Minimalism,年度相册工具相关内容的真实使用者,我在做一个年度相册工具的内容平台，我想先把入口价值讲明白。页面里我至少想放一个重点内容卡片和一个时间线或目录，并且把章节定位做得明显一些。尽量极简、留白多一些，手机上也要保持层级清楚。请让用户在扫读和细看之间切换得自然一点。
